,Date,Total Inflows,Customers - DDS,Customers - EFT,T&S Collections,FX Sales,Other operations,Total Outflows,Tüpraş,Other Oil,Gas,Import payments (FX purchases),Tax,Operatioınal and Admin. Expenses,VIS Buyback Payments,Net Cashflow from Operations,Inflows- currency
0,2019-01-02,17470499.6475,7718750.0,9655499.6475,0.0,0.0,96250.0,-46315933.400000006,-14570216.2575,-144151.0,-1109963.25,-29274250.0,-104883.9425,-1112468.9499999995,0.0,-28845433.752500005,
1,2019-01-03,11530478.05,3431500.0,8098978.05,0.0,0.0,0.0,-15353485.22,-13371811.4,-300799.25,-279857.5,-7746.0,-788785.335,-604485.735,0.0,-3823007.169999998,
2,2019-01-04,25913281.4525,13775750.0,12137531.4525,0.0,0.0,0.0,-109865077.645,-24593902.045,0.0,0.0,-49032605.0,-2936466.5575,-7175889.98,-26126214.0625,-83951796.19250001,
3,2019-01-07,52593449.0875,39041750.0,13551699.0875,0.0,0.0,0.0,-51654891.260000005,-31105940.75,-3364373.0,-1406590.3025,-12049750.0,-821862.3975,-2906374.81,0.0,938557.8274999931,
4,2019-01-08,36504292.0525,15137500.0,21366792.0525,0.0,0.0,0.0,-18421776.16,-12460994.3875,-16765.25,-407899.5,-67702.5,-4438173.8025,-1030240.72,0.0,18082515.89250001,
5,2019-01-09,27965653.3575,12786250.0,15179403.357499998,0.0,0.0,0.0,-11328221.6575,-5077061.475,-3587084.0,-361553.5,-274790.0,-27842.9475,-1999889.735,0.0,16637431.7,
6,2019-01-10,44086101.33,29394250.0,14691851.329999998,0.0,0.0,0.0,-70007569.61,-12401691.0225,-421900.4675,-698895.5825,-6828750.0,-48042748.6925,-1613583.845,0.0,-25921468.28,
7,2019-01-11,25129042.2925,13427000.0,11702042.2925,0.0,0.0,0.0,-23602300.23,-4440184.0425,-33763.0,-399191.75,-11117150.0,-5480974.47,-2131036.9675,0.0,1526742.0624999965,
8,2019-01-14,64097492.09,43617250.0,17980992.09,2499250.0,0.0,0.0,-43610780.6175,-33089202.865,-67596.0,-1262614.2675,-7783395.0,-27260.0925,-1380712.3924999998,0.0,20486711.472500004,
9,2019-01-15,73822454.2125,29195250.0,32928560.540000003,11698643.6725,0.0,0.0,-28036531.4275,-7515044.2925,0.0,-358791.75,-18086776.25,-400217.645,-1675701.49,0.0,45785922.78500001,
10,2019-01-16,47862931.31,10511750.0,21786887.1925,15564294.1175,0.0,0.0,-34178631.017500006,-9595517.875,-7650604.935,-725909.7424999999,-14864875.0,-48.55,-1341674.915,0.0,13684300.292499997,
11,2019-01-17,18445425.5775,2678500.0,10921211.510000002,4845714.067499999,0.0,0.0,-7577805.717500001,-4721226.077500001,-54733.0,-743894.25,0.0,-446465.2125,-1611487.1775000002,0.0,10867619.86,
12,2019-01-18,25692045.2475,13263250.0,11924004.505,504790.7425,0.0,0.0,-56243082.608088,-22731777.7925,-732712.75,-675461.75,-156003.888088,-1318670.745,-2560750.74,-28067704.9425,-30551037.360588003,
13,2019-01-21,85980150.1025,35412250.0,30459933.475,20107966.6275,0.0,0.0,-76740613.176412,-55129761.2375,-16716886.65,-1520339.0,-274390.053912,-399297.29,-2699938.945,0.0,9239536.926088003,
14,2019-01-22,42081259.675,12990500.0,19297459.715,9793299.96,0.0,0.0,-20076003.1675,-14552093.235,-24596.315,-2388866.9425,-1604520.0,-662276.7425,-843649.9325000001,0.0,22005256.5075,
15,2019-01-23,19208086.0025,11220000.0,7589480.069999999,398605.9325,0.0,0.0,-12890141.364999998,-4849238.7025,-146999.25,-602087.75,0.0,-3518627.39,-3773188.2725,0.0,6317944.637500003,
16,2019-01-24,31916706.2,8196750.0,14385015.33,9334940.87,0.0,0.0,-20026836.942500003,-10230381.145,-2009268.625,-535176.5,-6608500.000000001,-7677.0025,-635833.67,0.0,11889869.257499997,
17,2019-01-25,43352974.9775,30752250.0,10221044.785,2379680.1925,0.0,0.0,-69077626.4225,-17667194.0475,-729142.5,-998301.5,0.0,-47378187.3775,-2304800.9975,0.0,-25724651.445,
18,2019-01-28,62767602.25,34592500.0,19460135.457500003,8714966.7925,0.0,0.0,-79023556.1375,-44615419.3875,-67176.0,-1861418.4775,-17043818.75,-12252785.67,-3182937.8525,0.0,-16255953.887500005,
19,2019-01-29,29697591.0775,15775000.0,11064385.435,2858205.6425,0.0,0.0,-11655054.4275,-7661425.4925,0.0,-130219.75,0.0,-521508.37,-3341900.815,0.0,18042536.65,
20,2019-01-30,55269479.080000006,26957500.0,20320863.885,7991115.195,0.0,0.0,-16408260.875,-5571881.1075,-63927.5,-645909.0,-9238250.0,-590015.43,-298277.8375,0.0,38861218.205000006,
21,2019-01-31,49679406.18500001,21228250.0,24392517.680000003,2696096.2300000004,1362542.275,0.0,-12426074.765,-10329767.4,-951225.5,-210650.5,0.0,-462087.3875,-472343.9775,0.0,37253331.42000001,
22,2019-02-01,33766993.25,14246500.0,14730143.205000002,4790350.045,0.0,0.0,-31457984.7625,-10550642.605,-450746.465,-3590507.5,-12992500.0,-44565.195,-3829022.9975,0.0,2309008.4875000007,
23,2019-02-04,59970794.6775,8376000.0,32792187.325000003,18802607.3525,0.0,0.0,-70709838.45750001,-26108641.0375,-2750000.0,-2225000.0,-33306625.0,-2387322.42,-3932250.0,0.0,-10739043.780000009,
24,2019-02-05,34466526.642500006,16205250.0,12236268.2,6025008.4425,0.0,0.0,-36395456.025000006,-9830474.805,-168595.25,-732905.25,0.0,-4961817.0025,-664893.265,-20036770.4525,-1928929.3825000003,
25,2019-02-06,20628889.4575,12206500.0,6822124.7075,1600264.75,0.0,0.0,-13352208.9,-9560446.6475,-22955.5,-801657.5,0.0,-68447.555,-2898701.6975,0.0,7276680.557499999,
26,2019-02-07,30206831.125,12939750.0,13300954.35,3966126.775,0.0,0.0,-12427833.355,-9449709.64,-570153.5,-950951.75,0.0,-13353.17,-1443665.295,0.0,17778997.77,
27,2019-02-08,31226518.21,12671000.0,13527546.302500002,5027971.907499999,0.0,0.0,-48584866.7375,-12051180.715,-3825985.0,-1420443.75,-26305000.0,-3705500.94,-1276756.3325,0.0,-17358348.527500004,
28,2019-02-11,99500178.8875,52152500.0,30816839.8975,16530838.99,0.0,0.0,-100055986.37,-23609519.495,-9264269.5,-1794097.25,-19659375.0,-43559102.0525,0.0,-2169623.0725,-555807.4825000018,
29,2019-02-12,30384508.1125,14506750.0,13237697.794999998,2640060.3175,0.0,0.0,-38007124.675,-12979124.4675,-140362.1775,-885520.29,-21741937.5,-1464861.1975,-795319.0425,0.0,-7622616.5625,
30,2019-02-13,41722986.0275,14110000.0,18277513.635,9335472.392499998,0.0,0.0,-12967939.565,-11360591.4225,-6611.5,-602732.75,0.0,-97373.945,-900629.9475,0.0,28755046.4625,
31,2019-02-14,45812609.7175,22522500.0,6213182.022499999,17076927.695,0.0,0.0,-37197488.4875,-21529170.66,-126484.4225,-565011.25,-13252500.0,-738051.7975,-986270.3575,0.0,8615121.230000004,
